mol,smiles,E_S1(eV),wl_S1(nm),osc_S1,E_S2(eV),wl_S2(nm),osc_S2,E_S3(eV),wl_S3(nm),osc_S3,E_T1(eV),E_T2(eV),E(S1-T1)(eV),E_S1_SOC(eV),wl_S1_SOC(nm),osc_S1_SOC,E_S2_SOC(eV),wl_S2_SOC(nm),osc_S2_SOC,E_S3_SOC(eV),wl_S3_SOC(nm),osc_S3_SOC,HOMO(eV),LUMO(eV),Gap(eV)
mol1004,COCCC1=Cc2nc1ccc1[nH]c(c3nc(ccc4[nH]c2cc4CCOC)C(CCOC)=C3)c(CCOC)c1C=O,2.230874,555.8,0.355930108,2.289915,541.4,0.471210346,3.428026,361.7,0.01594322,1.207,1.465,1.02,2.230874,555.8,0.355930108,2.289915,541.4,0.471210345,3.428026,361.7,0.01594322,-7.2006,-2.0867,5.11
mol0794,CCCC1=Cc2nc1c(NC(=O)O)cc1[nH]c(cc1CCC)c1nc(ccc3[nH]c2cc3CCC)C(C)=C1,2.22052,558.4,0.326774228,2.36921,523.3,0.339538182,3.598999,344.5,0.071133659,1.343,1.441,0.88,2.22052,558.4,0.326774227,2.36921,523.3,0.33953818,3.598999,344.5,0.071133659,-7.0884,-1.8399,5.25
mol0218,C1=CC2=Nc3ccccc3C2=C1,2.233244,555.2,0.007501896,3.739224,331.6,0.001629852,3.795178,326.7,0.215491687,1.308,2.542,0.93,2.233246,555.2,0.007501846,3.739226,331.6,0.001629853,3.79518,326.7,0.215491192,-8.1105,-1.3232,6.79
mol1420,CC1=[N+]2C(=Nc3c(-c4ccccc4)cc(-c4cccs4)n3[B-]2(F)F)C=C1c1cccs1,2.204866,562.3,1.25532535,3.235369,383.2,0.163940449,3.429388,361.5,0.38251747,0.847,2.466,1.36,2.204866,562.3,1.255325231,3.235369,383.2,0.163940438,3.429388,361.5,0.38251744,-7.3059,-2.0998,5.21
mol1190,C1=CC2=Nc3cc(-c4ccc(-c5cc(-c6ccccc6)cc(-c6ccccc6)n5)cc4)ccc3C2=C1,2.17244,570.7,0.036249986,3.738344,331.7,0.004502509,3.793448,326.8,0.23940268,1.267,2.569,0.91,2.17244,570.7,0.036249985,3.738345,331.7,0.004502608,3.793448,326.8,0.239402579,-7.8007,-1.3815,6.42
mol0146,N#Cc1cc2cccc3c(N)ccc4ccc1c-2c43,2.120985,584.6,0.163301464,3.220302,385.0,0.082339064,3.860435,321.2,0.213619485,1.459,2.422,0.66,2.120985,584.6,0.163301464,3.220302,385.0,0.082339064,3.860435,321.2,0.213619485,-7.0959,-1.1546,5.94
mol1671,C1=CC2=Nc3ccc(-c4ccc(-c5nc6ccccc6n5-c5ccccc5)s4)cc3C2=C1,2.120309,584.7,0.004296443,3.258998,380.4,0.852643006,3.836433,323.2,0.85165857,1.231,2.226,0.89,2.120309,584.7,0.004296443,3.258998,380.4,0.852642971,3.836433,323.2,0.85165857,-7.514,-1.5026,6.01
mol1113,N#Cc1nc2ccc1ccc1c3c(c2)C=CC=3C=1,2.112729,586.8,0.013173247,2.838185,436.8,1.565126661,3.372651,367.6,0.085237364,1.365,1.658,0.75,2.112729,586.8,0.01317325,2.838185,436.8,1.565126695,3.372652,367.6,0.085237307,-7.153,-1.1784,5.97
mol0145,O=c1cc2ccc3cccc4ccc1c2c34,2.077491,596.8,0.11194464,3.197701,387.7,8.728e-06,3.7285,332.5,0.019819734,1.115,2.762,0.96,2.077502,596.8,0.11194478,3.19772,387.7,8.728e-06,3.728512,332.5,0.019819299,-7.6016,-1.6133,5.99
mol1170,COc1ccc2c1c(C)c1cccc3cnc2n31,2.066352,600.0,0.168525721,3.610731,343.4,0.020027707,4.332482,286.2,0.272225095,1.268,2.546,0.8,2.066352,600.0,0.168525721,3.610731,343.4,0.020027707,4.332482,286.2,0.272225095,-6.7252,-0.9281,5.8
mol0186,CC1(C)c2ccccc2N(c2ccc3c4c(oc3c2)=CC(=O)C2=CC=CC=42)c2ccccc21,2.034753,609.3,0.173417334,2.707615,457.9,0.59449237,3.140118,394.8,6.454e-06,1.193,1.476,0.84,2.034753,609.3,0.173417334,2.707615,457.9,0.594492368,3.140129,394.8,6.454e-06,-7.5701,-1.9262,5.64
mol0784,CC1=Cc2nc1c1ccc([nH]1)c(-c1ccc(N)cc1)c1nc(c(-c3ccc(N)cc3)c3ccc([nH]3)c3ccccc23)C=C1,2.019327,614.0,0.462738421,2.754269,450.2,0.274681755,3.22781,384.1,2.27431569,1.108,1.921,0.91,2.019327,614.0,0.462738346,2.754269,450.2,0.27468176,3.22781,384.1,2.274315678,-6.6503,-1.7037,4.95
mol1063,CCOCCc1cc2[nH]c1ccc1nc(c3cc(CCOC)c(ccc4nc2C=C4CCOC)[nH]3)C=C1CCOC,1.992263,622.3,0.232284914,2.272292,545.6,0.213728255,3.425786,361.9,0.718623034,1.176,1.408,0.82,1.992263,622.3,0.232282544,2.272292,545.6,0.213728289,3.425786,361.9,0.718622997,-6.7748,-1.7079,5.07
mol0914,Cc1cc2ccc3cccc4cc5cnccc5c1-c2c34,1.938114,639.7,0.05460573,2.739845,452.5,0.152499812,3.689458,336.0,0.545197723,1.25,1.957,0.69,1.938114,639.7,0.054605699,2.739845,452.5,0.152499812,3.689458,336.0,0.545197722,-7.0639,-1.4323,5.63
mol0836,CC1=C2C(=C1)c1ccccc1C(=O)c1cc2c2cc3cc4ccccc4cc3cc2c1,1.849272,670.4,0.213599187,2.725699,454.9,0.156797992,3.038688,408.0,0.018277136,0.654,1.52,1.2,1.849272,670.4,0.213599076,2.725699,454.9,0.156797984,3.038688,408.0,0.018277136,-6.6902,-1.3137,5.38
mol1050,CCCC1=Cc2nc1ccc1[nH]c(cc3nc(c(C)c4ccc2[nH]4)C=C3CC)c(CN(C)C)c1CCC,1.846211,671.6,0.17833816,2.217936,559.0,0.051556996,2.810625,441.1,0.572837155,0.994,1.505,0.85,1.846234,671.6,0.176574284,2.217936,559.0,0.051557128,2.810625,441.1,0.572837118,-5.956,-0.7474,5.21
